username,name,gender,age,location,bio,picture,class
_aikira_,Aikira Walker,Female,21,,"~~friends, food & sunshine~~",image-13.png,
aleeboi,Alex Lee,Male,35,Sunny Los Anageles,Food makes me happy. I want to share the happiness with you!,Bot-SP18.24.png,
ancho-n-cayenne,Yalonda Carter,Female,31,"Baltimore, MD",The spice of life... is spice! 🌶️🌶️,165.jpg,
artisanalways,Riya,Female,27,"North Hempstead, NY",artisan mugs and artisan hugs,image-12.png,
Ataylor,Ataylor,Male,42,"Arlington, VA",Sending prayers & blessings for your life journey.,image-92.png,
ayoitsayo,Maui Ayo,Male,26,"Honolulu, HI","What's up, guys! Let me see some goodies ova here.",Bot-SP18.23.png,
B.Mike,Mike B.,Male,33,"Scottland -> Brooklyn, NY",Journey to a healthier life. Blink gym is my home. #RunFatBoyRun,Bot-Sp18.8.jpg,
bblueberryy,Emma Hanson,Female,26,"Jefferson City, MO",living the vegan life since 2002! Ask me about my fav plant-based recipes!,155.jpg,
BeardedMatt,Matthew McConville,Male,33,Home @TX,Eating all the ribs with my blue eyes.  BBQ side options: mac n' cheese + beans,Bot-Sp18.1.jpg,
BossmanRy,Ryan Haiskenen,Male,35,Chicago,what do you call a nosy pepper? .....Jalepeno Business,12.jpg,
breathe_in,Aimee Lin,Female,23,"Atlanta, GA",meditation & clean eating (& the occasional martini) make the world go round,image-7.png,
breethebaker,Breanne Carman-Hines,Female,27,"Salt Lake City, UT","sweet baking, savory baking... if the oven's on, I'm in.",image-41.png,
caffeinated,Tiana Brown,Female,34,,still trying to make the perfect #cappucino,image-23.png,
casssssssssie,Cassie Reed,Female,24,"White Plains, NY",Adulting is hard so I'm taking pics to prove to myself that I can do it!,image-31.png,
cavsforever,Hiran,Male,37,"Cleveland, OH",#1 CAVS FAN,image-94.png,
chefricky,Ricky Hopkins,Male,41,Texas,"The simplest things in life give me the most pleasure: cooking a good meal, enjoying my friends. ",Bot-SP18.20.png,
clayton.myers,clayton.myers,Male,25,"Pinehurst, NC",The most dangerous drinking game is seeing how long I can go without coffee.,genericphoto5.png,
coachmatthews,Eva Matthews,Female,32,"Boston, MA","Mom, foodie, gymnastics coach. Nutrition is strength!",37.jpg,
csmbx1,Suzanne,Female,42,,MAKE $5000 PER WEEK WORKING FROM HOME,dogdogdog.jpg,
dana84,Dana Cox,Female,34,"Ann Arbor, MI","It's me, Dana.",Bot-SP18.18.png,
difrad,Dominic DiFranzo,Male,32,"Ithaca, NY",I made this!,23.jpg,
DonDonDonna,DonnaHAMMERSMITH,Female,30,"Fort Smith, AR","RN at Mercy Hospital. 🧑‍🤝‍🧑 Open Relationship with Mike N. 💑 Fort Smith, AR",Bot-Sp18.6.jpg,
earthpulse,Sophia P.,Female,27,"Jersey City, NJ",**food**photos**earth-friendly fashion**,image-29.png,
EmmaSmith0214,Emma Smith,Female,33,Online 24/7,🤳 Social Media Specialist. Corgi mama. Buffalo Wings Supporter. <3 WNY,Bot-Sp18.7.jpg,
